rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
37,24,33,29,81,"{'max_depth': -1, 'num_leaves': 221}"
22,12,27,23,11,"{'max_depth': -1, 'num_leaves': 231}"
19,35,31,19,50,"{'max_depth': -1, 'num_leaves': 241}"
20,8,17,20,6,"{'max_depth': -1, 'num_leaves': 251}"
13,13,21,12,36,"{'max_depth': -1, 'num_leaves': 261}"
17,15,13,17,45,"{'max_depth': -1, 'num_leaves': 271}"
15,19,15,11,72,"{'max_depth': -1, 'num_leaves': 281}"
5,4,3,7,2,"{'max_depth': -1, 'num_leaves': 291}"
11,2,5,12,13,"{'max_depth': -1, 'num_leaves': 301}"
3,18,10,3,14,"{'max_depth': -1, 'num_leaves': 311}"
7,28,11,7,48,"{'max_depth': -1, 'num_leaves': 321}"
1,6,2,1,39,"{'max_depth': -1, 'num_leaves': 331}"
9,10,8,5,61,"{'max_depth': -1, 'num_leaves': 341}"
37,25,34,29,81,"{'max_depth': 0, 'num_leaves': 221}"
24,11,26,24,20,"{'max_depth': 0, 'num_leaves': 231}"
23,22,19,22,43,"{'max_depth': 0, 'num_leaves': 241}"
21,7,18,21,7,"{'max_depth': 0, 'num_leaves': 251}"
13,14,20,12,36,"{'max_depth': 0, 'num_leaves': 261}"
17,16,14,17,45,"{'max_depth': 0, 'num_leaves': 271}"
16,36,22,12,66,"{'max_depth': 0, 'num_leaves': 281}"
5,1,4,7,2,"{'max_depth': 0, 'num_leaves': 291}"
12,3,6,16,25,"{'max_depth': 0, 'num_leaves': 301}"
3,17,9,3,14,"{'max_depth': 0, 'num_leaves': 311}"
7,27,12,7,48,"{'max_depth': 0, 'num_leaves': 321}"
2,5,1,2,40,"{'max_depth': 0, 'num_leaves': 331}"
9,9,7,5,61,"{'max_depth': 0, 'num_leaves': 341}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 261}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 271}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 281}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 291}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 301}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 311}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 321}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 331}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 341}"
144,147,146,144,144,"{'max_depth': 4, 'num_leaves': 221}"
144,149,149,144,144,"{'max_depth': 4, 'num_leaves': 231}"
144,156,156,144,144,"{'max_depth': 4, 'num_leaves': 241}"
144,155,155,144,144,"{'max_depth': 4, 'num_leaves': 251}"
144,149,149,144,144,"{'max_depth': 4, 'num_leaves': 261}"
144,145,147,144,144,"{'max_depth': 4, 'num_leaves': 271}"
144,149,149,144,144,"{'max_depth': 4, 'num_leaves': 281}"
144,149,149,144,144,"{'max_depth': 4, 'num_leaves': 291}"
144,146,145,144,144,"{'max_depth': 4, 'num_leaves': 301}"
144,148,148,144,144,"{'max_depth': 4, 'num_leaves': 311}"
144,149,149,144,144,"{'max_depth': 4, 'num_leaves': 321}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 331}"
144,149,149,144,144,"{'max_depth': 4, 'num_leaves': 341}"
132,140,140,132,132,"{'max_depth': 5, 'num_leaves': 221}"
142,143,143,142,142,"{'max_depth': 5, 'num_leaves': 231}"
132,140,141,132,132,"{'max_depth': 5, 'num_leaves': 241}"
132,132,132,132,132,"{'max_depth': 5, 'num_leaves': 251}"
142,142,142,142,142,"{'max_depth': 5, 'num_leaves': 261}"
132,134,133,132,132,"{'max_depth': 5, 'num_leaves': 271}"
132,137,137,132,132,"{'max_depth': 5, 'num_leaves': 281}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 291}"
132,133,135,132,132,"{'max_depth': 5, 'num_leaves': 301}"
132,138,138,132,132,"{'max_depth': 5, 'num_leaves': 311}"
132,135,134,132,132,"{'max_depth': 5, 'num_leaves': 321}"
