rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
50,52,29,48,103,"{'max_depth': -1, 'num_leaves': 221}"
48,86,63,45,114,"{'max_depth': -1, 'num_leaves': 231}"
63,17,57,55,116,"{'max_depth': -1, 'num_leaves': 241}"
19,9,5,27,51,"{'max_depth': -1, 'num_leaves': 251}"
5,46,23,10,48,"{'max_depth': -1, 'num_leaves': 261}"
60,35,10,48,125,"{'max_depth': -1, 'num_leaves': 271}"
24,80,16,24,74,"{'max_depth': -1, 'num_leaves': 281}"
12,2,6,10,70,"{'max_depth': -1, 'num_leaves': 291}"
1,75,22,1,54,"{'max_depth': -1, 'num_leaves': 301}"
17,32,20,14,97,"{'max_depth': -1, 'num_leaves': 311}"
7,10,2,5,83,"{'max_depth': -1, 'num_leaves': 321}"
41,29,34,37,112,"{'max_depth': -1, 'num_leaves': 331}"
14,55,1,4,121,"{'max_depth': -1, 'num_leaves': 341}"
50,51,28,48,103,"{'max_depth': 0, 'num_leaves': 221}"
48,88,64,45,114,"{'max_depth': 0, 'num_leaves': 231}"
63,16,58,55,116,"{'max_depth': 0, 'num_leaves': 241}"
19,8,4,27,51,"{'max_depth': 0, 'num_leaves': 251}"
5,47,24,10,48,"{'max_depth': 0, 'num_leaves': 261}"
60,36,11,48,125,"{'max_depth': 0, 'num_leaves': 271}"
24,81,15,24,74,"{'max_depth': 0, 'num_leaves': 281}"
12,1,7,10,70,"{'max_depth': 0, 'num_leaves': 291}"
1,76,21,1,54,"{'max_depth': 0, 'num_leaves': 301}"
17,33,19,14,97,"{'max_depth': 0, 'num_leaves': 311}"
11,11,3,7,84,"{'max_depth': 0, 'num_leaves': 321}"
41,27,33,37,112,"{'max_depth': 0, 'num_leaves': 331}"
3,21,8,3,82,"{'max_depth': 0, 'num_leaves': 341}"
157,163,163,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,163,163,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,163,163,157,157,"{'max_depth': 3, 'num_leaves': 261}"
