rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
67,23,48,47,125,"{'max_depth': -1, 'num_leaves': 221}"
30,9,22,36,88,"{'max_depth': -1, 'num_leaves': 231}"
55,16,28,25,127,"{'max_depth': -1, 'num_leaves': 241}"
5,20,5,16,60,"{'max_depth': -1, 'num_leaves': 251}"
20,35,9,11,115,"{'max_depth': -1, 'num_leaves': 261}"
15,15,12,16,86,"{'max_depth': -1, 'num_leaves': 271}"
45,3,27,25,120,"{'max_depth': -1, 'num_leaves': 281}"
19,21,11,11,108,"{'max_depth': -1, 'num_leaves': 291}"
22,72,33,9,121,"{'max_depth': -1, 'num_leaves': 301}"
63,12,15,31,128,"{'max_depth': -1, 'num_leaves': 311}"
12,2,2,5,113,"{'max_depth': -1, 'num_leaves': 321}"
7,18,7,2,112,"{'max_depth': -1, 'num_leaves': 331}"
8,7,20,3,105,"{'max_depth': -1, 'num_leaves': 341}"
67,22,47,47,125,"{'max_depth': 0, 'num_leaves': 221}"
30,8,21,36,88,"{'max_depth': 0, 'num_leaves': 231}"
42,13,30,25,118,"{'max_depth': 0, 'num_leaves': 241}"
5,19,6,16,60,"{'max_depth': 0, 'num_leaves': 251}"
20,34,8,11,115,"{'max_depth': 0, 'num_leaves': 261}"
15,14,13,16,86,"{'max_depth': 0, 'num_leaves': 271}"
24,4,24,21,92,"{'max_depth': 0, 'num_leaves': 281}"
51,17,16,25,123,"{'max_depth': 0, 'num_leaves': 291}"
22,73,32,9,121,"{'max_depth': 0, 'num_leaves': 301}"
63,11,14,31,128,"{'max_depth': 0, 'num_leaves': 311}"
12,1,1,5,113,"{'max_depth': 0, 'num_leaves': 321}"
1,24,4,1,82,"{'max_depth': 0, 'num_leaves': 331}"
8,6,19,3,105,"{'max_depth': 0, 'num_leaves': 341}"
157,164,164,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,164,164,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,164,164,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,164,164,157,157,"{'max_depth': 3, 'num_leaves': 261}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 271}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 281}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 291}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 301}"
157,164,164,157,157,"{'max_depth': 3, 'num_leaves': 311}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 321}"
157,164,164,157,157,"{'max_depth': 3, 'num_leaves': 331}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 341}"
144,146,146,144,144,"{'max_depth': 4, 'num_leaves': 221}"
144,146,146,144,144,"{'max_depth': 4, 'num_leaves': 231}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 241}"
144,146,146,144,144,"{'max_depth': 4, 'num_leaves': 251}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 261}"
144,146,146,144,144,"{'max_depth': 4, 'num_leaves': 271}"
144,155,155,144,144,"{'max_depth': 4, 'num_leaves': 281}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 291}"
144,146,146,144,144,"{'max_depth': 4, 'num_leaves': 301}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 311}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 321}"
144,155,155,144,144,"{'max_depth': 4, 'num_leaves': 331}"
144,151,151,144,144,"{'max_depth': 4, 'num_leaves': 341}"
137,135,135,137,131,"{'max_depth': 5, 'num_leaves': 221}"
137,131,131,137,131,"{'max_depth': 5, 'num_leaves': 231}"
131,138,138,131,138,"{'max_depth': 5, 'num_leaves': 241}"
131,142,142,131,138,"{'max_depth': 5, 'num_leaves': 251}"
137,137,137,137,131,"{'max_depth': 5, 'num_leaves': 261}"
137,136,136,137,131,"{'max_depth': 5, 'num_leaves': 271}"
137,131,131,137,131,"{'max_depth': 5, 'num_leaves': 281}"
131,138,138,131,138,"{'max_depth': 5, 'num_leaves': 291}"
131,142,142,131,138,"{'max_depth': 5, 'num_leaves': 301}"
137,133,133,137,131,"{'max_depth': 5, 'num_leaves': 311}"
