rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
61,49,49,55,104,"{'max_depth': -1, 'num_leaves': 221}"
1,6,11,3,1,"{'max_depth': -1, 'num_leaves': 231}"
26,75,21,25,50,"{'max_depth': -1, 'num_leaves': 241}"
37,107,28,34,75,"{'max_depth': -1, 'num_leaves': 251}"
5,28,7,5,8,"{'max_depth': -1, 'num_leaves': 261}"
8,39,16,11,17,"{'max_depth': -1, 'num_leaves': 271}"
14,60,25,15,30,"{'max_depth': -1, 'num_leaves': 281}"
19,47,8,21,34,"{'max_depth': -1, 'num_leaves': 291}"
14,26,9,15,30,"{'max_depth': -1, 'num_leaves': 301}"
3,20,2,1,14,"{'max_depth': -1, 'num_leaves': 311}"
10,42,3,11,28,"{'max_depth': -1, 'num_leaves': 321}"
23,91,15,15,70,"{'max_depth': -1, 'num_leaves': 331}"
12,9,17,8,44,"{'max_depth': -1, 'num_leaves': 341}"
61,48,50,55,104,"{'max_depth': 0, 'num_leaves': 221}"
1,7,12,3,1,"{'max_depth': 0, 'num_leaves': 231}"
26,74,20,25,50,"{'max_depth': 0, 'num_leaves': 241}"
37,106,27,34,75,"{'max_depth': 0, 'num_leaves': 251}"
5,32,6,5,8,"{'max_depth': 0, 'num_leaves': 261}"
30,1,5,29,53,"{'max_depth': 0, 'num_leaves': 271}"
14,61,26,15,30,"{'max_depth': 0, 'num_leaves': 281}"
9,23,13,5,43,"{'max_depth': 0, 'num_leaves': 291}"
14,24,10,15,30,"{'max_depth': 0, 'num_leaves': 301}"
3,17,1,1,14,"{'max_depth': 0, 'num_leaves': 311}"
10,40,4,11,28,"{'max_depth': 0, 'num_leaves': 321}"
23,90,14,15,70,"{'max_depth': 0, 'num_leaves': 331}"
12,5,18,8,44,"{'max_depth': 0, 'num_leaves': 341}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 221}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 231}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 241}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 251}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 261}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 271}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 281}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 291}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 301}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 311}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 321}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 331}"
157,157,157,157,157,"{'max_depth': 3, 'num_leaves': 341}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 221}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 231}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 241}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 251}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 261}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 271}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 281}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 291}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 301}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 311}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 321}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 331}"
144,144,144,144,144,"{'max_depth': 4, 'num_leaves': 341}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 221}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 231}"
138,139,139,138,138,"{'max_depth': 5, 'num_leaves': 241}"
138,141,141,138,138,"{'max_depth': 5, 'num_leaves': 251}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 261}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 271}"
138,141,141,138,138,"{'max_depth': 5, 'num_leaves': 281}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 291}"
138,139,139,138,138,"{'max_depth': 5, 'num_leaves': 301}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 311}"
131,131,131,131,131,"{'max_depth': 5, 'num_leaves': 321}"
138,141,141,138,138,"{'max_depth': 5, 'num_leaves': 331}"
138,138,138,138,138,"{'max_depth': 5, 'num_leaves': 341}"
121,119,122,129,90,"{'max_depth': 6, 'num_leaves': 221}"
118,115,118,126,65,"{'max_depth': 6, 'num_leaves': 231}"
118,117,120,126,65,"{'max_depth': 6, 'num_leaves': 241}"
123,127,127,118,120,"{'max_depth': 6, 'num_leaves': 251}"
118,116,119,126,65,"{'max_depth': 6, 'num_leaves': 261}"
123,124,124,118,120,"{'max_depth': 6, 'num_leaves': 271}"
123,129,129,118,120,"{'max_depth': 6, 'num_leaves': 281}"
123,125,125,118,120,"{'max_depth': 6, 'num_leaves': 291}"
123,126,126,118,120,"{'max_depth': 6, 'num_leaves': 301}"
121,118,121,129,90,"{'max_depth': 6, 'num_leaves': 311}"
123,130,130,118,120,"{'max_depth': 6, 'num_leaves': 321}"
123,123,123,118,120,"{'max_depth': 6, 'num_leaves': 331}"
123,128,128,118,120,"{'max_depth': 6, 'num_leaves': 341}"
111,87,108,112,113,"{'max_depth': 7, 'num_leaves': 221}"
109,110,112,108,62,"{'max_depth': 7, 'num_leaves': 231}"
107,97,105,105,96,"{'max_depth': 7, 'num_leaves': 241}"
115,121,117,115,98,"{'max_depth': 7, 'num_leaves': 251}"
115,120,115,115,98,"{'max_depth': 7, 'num_leaves': 261}"
105,111,113,107,22,"{'max_depth': 7, 'num_leaves': 271}"
107,98,106,105,96,"{'max_depth': 7, 'num_leaves': 281}"
114,113,114,110,128,"{'max_depth': 7, 'num_leaves': 291}"
111,88,107,112,113,"{'max_depth': 7, 'num_leaves': 301}"
106,112,110,110,24,"{'max_depth': 7, 'num_leaves': 311}"
109,109,111,108,62,"{'max_depth': 7, 'num_leaves': 321}"
115,122,116,115,98,"{'max_depth': 7, 'num_leaves': 331}"
111,86,109,112,113,"{'max_depth': 7, 'num_leaves': 341}"
97,101,97,100,56,"{'max_depth': 8, 'num_leaves': 221}"
98,95,100,98,79,"{'max_depth': 8, 'num_leaves': 231}"
92,73,95,92,40,"{'max_depth': 8, 'num_leaves': 241}"
100,63,102,95,95,"{'max_depth': 8, 'num_leaves': 251}"
104,114,104,104,117,"{'max_depth': 8, 'num_leaves': 261}"
94,30,91,94,27,"{'max_depth': 8, 'num_leaves': 271}"
99,77,101,102,38,"{'max_depth': 8, 'num_leaves': 281}"
101,55,96,95,110,"{'max_depth': 8, 'num_leaves': 291}"
102,99,93,101,101,"{'max_depth': 8, 'num_leaves': 301}"
95,94,98,98,20,"{'max_depth': 8, 'num_leaves': 311}"
103,102,103,103,108,"{'max_depth': 8, 'num_leaves': 321}"
96,96,99,95,78,"{'max_depth': 8, 'num_leaves': 331}"
93,36,94,93,25,"{'max_depth': 8, 'num_leaves': 341}"
